year,peak_load,PRM
71,691.80 ,26.80 
72,780.80 ,29.20 
73,851.70 ,22.10 
74,871.60 ,55.10 
75,990.00 ,48.30 
76,1111.30 ,35.00 
77,1233.10 ,21.70 
78,1342.20 ,14.00 
79,1451.10 ,7.40 
80,1532.10 ,4.80 
81,1670.40 ,6.70 
82,1766.60 ,4.20 
83,1861.00 ,4.80 
84,1993.30 ,4.70 
85,2176.20 ,5.60 
86,2223.70 ,11.00 
87,2383.00 ,7.70 
88,2420.60 ,12.50 
89,2585.40 ,12.60 
90,2629.00 ,13.20 
91,2711.70 ,16.00 
92,2859.40 ,14.60 
93,2903.40 ,20.20 
94,3094.30 ,16.30 
95,3206.00 ,16.10 
96,3279.10 ,16.20 
97,3132.00 ,21.10 
98,3101.10 ,28.10 
99,3302.30 ,23.40 
100,3378.70 ,20.60 
101,3308.10 ,22.70 
102,3395.70 ,17.50 
103,3482.10 ,14.70 
104,3524.80 ,11.50 