code,type,salary,working
1401,綜合教育學類,37423 ,0.84 
1402,普通科目教育學類,34327 ,0.85 
1403,專業科目教育學類,34619 ,0.85 
1404,學前教育學類,32645 ,0.91 
1405,成人教育學類,30753 ,0.86 
1406,特殊教育學類,44859 ,0.93 
1407,教育行政學類,31545 ,0.81 
1408,教育科技學類,28474 ,0.89 
1499,其他教育學類,37638 ,0.89 
2101,美術學類,29377 ,0.76 
2102,雕塑藝術學類,33485 ,0.54 
2103,美術工藝學類,24842 ,0.87 
2104,音樂學類,31875 ,0.66 
2105,戲劇舞蹈學類,30066 ,0.77 
2106,視覺藝術學類,29914 ,0.80 
2107,綜合藝術學類,29871 ,0.78 
2108,民俗藝術學類,28217 ,0.58 
2109,應用藝術學類,30450 ,0.77 
2110,藝術行政學類,27005 ,0.70 
2201,台灣語文學類,28427 ,0.85 
2202,中國語文學類,31029 ,0.83 
2203,外國語文學類,30313 ,0.85 
2204,其他語文學類,35684 ,0.89 
2205,翻譯學類,30426 ,0.89 
2207,語言學類,28770 ,0.85 
2208,宗教學類,27366 ,0.74 
2209,歷史學類,30347 ,0.76 
2210,人類學學類,30988 ,0.86 
2211,哲學學類,30394 ,0.79 
2299,其他人文學類,33020 ,0.84 
2301,綜合設計學類,26527 ,0.83 
2302,視覺傳達設計學類,26718 ,0.87 
2303,產品設計學類,27422 ,0.88 
2304,空間設計學類,25609 ,0.90 
2399,其他設計學類,26060 ,0.79 
3101,經濟學類,34767 ,0.85 
3102,政治學類,35703 ,0.78 
3103,社會學類,31375 ,0.82 
3104,民族學類,33736 ,0.86 
3105,心理學類,32759 ,0.81 
3106,地理學類,38614 ,0.81 
3107,區域研究學類,31782 ,0.82 
3108,公共行政學類,31277 ,0.82 
3109,國際事務學類,29818 ,0.83 
3110,綜合社會及行為科學學類,33569 ,0.86 
3201,一般大眾傳播學類,28330 ,0.88 
3202,新聞學類,32970 ,0.89 
3203,廣播電視學類,29889 ,0.86 
3204,公共關係學類,31843 ,0.87 
3206,圖書資訊檔案學類,31247 ,0.86 
3207,圖文傳播學類,29788 ,0.82 
3208,廣告學類,32026 ,0.89 
3401,一般商業學類,26983 ,0.81 
3402,會計學類,32899 ,0.90 
3403,企業管理學類,29887 ,0.88 
3404,貿易學類,30020 ,0.89 
3405,財務金融學類,32166 ,0.86 
3406,風險管理學類,31954 ,0.90 
3407,財政學類,31251 ,0.88 
3408,行銷與流通學類,27545 ,0.89 
3409,醫管學類,27648 ,0.89 
3499,其他商業及管理學類,30508 ,0.87 
3801,一般法律學類,35693 ,0.64 
3802,專業法律學類,28534 ,0.78 
3899,其他法律學類,37723 ,0.50 
4201,生物學類,30943 ,0.72 
4202,生態學類,26013 ,0.85 
4203,生物科技學類,27437 ,0.82 
4204,微生物學類,34995 ,0.75 
4205,生物化學學類,30521 ,0.66 
4206,生物訊息學類,27720 ,0.85 
4299,其他生命科學類,29844 ,0.76 
4401,化學學類,33991 ,0.83 
4402,地球科學學類,32894 ,0.68 
4403,物理學類,32837 ,0.77 
4404,大氣科學學類,31585 ,0.78 
4405,海洋科學學類,28197 ,0.75 
4499,其他自然科學學類,32924 ,0.76 
4601,數學學類,33096 ,0.80 
4602,統計學類,31558 ,0.85 
4699,其他數學及統計學類,35137 ,0.85 
4801,電算機一般學類,28803 ,0.87 
4802,網路學類,29666 ,0.91 
4803,軟體發展學類,27992 ,0.84 
4805,電算機應用學類,26862 ,0.86 
5201,電資工程學類,30849 ,0.88 
5202,機械工程學類,31686 ,0.90 
5203,土木工程學類,29929 ,0.88 
5204,化學工程學類,33872 ,0.89 
5205,材料工程學類,33448 ,0.85 
5206,工業工程學類,30510 ,0.88 
5207,紡織工程學類,30534 ,0.91 
5208,測量工程學類,43542 ,0.82 
5209,環境工程學類,28706 ,0.90 
5210,河海工程學類,32305 ,0.82 
5211,生醫工程學類,31329 ,0.84 
5212,核子工程學類,39159 ,0.54 
5213,綜合工程學類,33068 ,0.82 
5299,其他工程學類,30737 ,0.89 
5801,建築學類,29411 ,0.91 
5802,景觀設計學類,27637 ,0.90 
5803,都巿規劃學類,29532 ,0.85 
5899,其他建築及都巿規劃學類,32746 ,0.88 
6201,一般農業學類,29104 ,0.81 
6202,畜牧學類,27851 ,0.79 
6203,園藝學類,28779 ,0.78 
6204,植物保護學類,29129 ,0.89 
6205,農業經濟及推廣學類,34812 ,0.85 
6206,食品科學類,26469 ,0.86 
6207,水土保持學類,28151 ,0.86 
6208,農業化學類,30284 ,0.69 
6209,農業技術學類,38838 ,1.00 
6210,林業學類,29608 ,0.77 
6211,漁業學類,26897 ,0.85 
6401,獸醫學類,32824 ,0.85 
7201,醫學學類,95360 ,0.98 
7202,公共衛生學類,30414 ,0.85 
7203,藥學學類,47275 ,0.85 
7204,復健醫學學類,38140 ,0.87 
7205,營養學類,28415 ,0.85 
7206,護理學類,49785 ,0.96 
7207,醫學技術及檢驗學類,34624 ,0.84 
7208,牙醫學類,58937 ,0.82 
7299,其他醫藥衛生學類,50951 ,1.00 
7602,老年服務學類,33161 ,0.90 
7603,社會工作學類,33049 ,0.90 
7604,兒童保育學類,25809 ,0.92 
8101,餐旅服務學類,28222 ,0.88 
8102,觀光休閒學類,28053 ,0.87 
8103,競技運動學類,39999 ,0.85 
8104,運動科技學類,27965 ,0.80 
8105,運動休閒及休閒管理學類,28468 ,0.87 
8106,生活應用科學學類,26738 ,0.89 
8107,服飾學類,29504 ,0.83 
8108,美容學類,28710 ,0.88 
8199,其他民生學類,31530 ,0.92 
8401,運輸管理學類,32975 ,0.88 
8402,航空學類,30564 ,0.91 
8403,航海學類,49321 ,0.89 
8501,環境資源學類,27582 ,0.91 
8502,環境防災學類,26988 ,0.89 
8601,警政學類,25693 ,0.84 